id,county,units,value,income,costs,taxes
18169,"Wabash County, Indiana",5745,100600,61416,886,459
18171,"Warren County, Indiana",1691,110200,75677,995,650
18173,"Warrick County, Indiana",12404,152000,81000,1198,1164
18175,"Washington County, Indiana",4907,111900,62062,964,778
18177,"Wayne County, Indiana",11399,97000,61099,923,859
18179,"Wells County, Indiana",5767,121200,68130,969,613
18181,"White County, Indiana",4589,114900,67115,928,738
18183,"Whitley County, Indiana",7158,135500,69181,1073,1069
19001,"Adair County, Iowa",1310,98500,63162,1025,1251
19003,"Adams County, Iowa",578,102400,65000,1016,1156
19005,"Allamakee County, Iowa",2295,122400,68818,1097,1461
19007,"Appanoose County, Iowa",1797,84700,61230,923,1347
19009,"Audubon County, Iowa",899,67700,67537,805,969
19011,"Benton County, Iowa",4930,158300,81760,1296,2023
19013,"Black Hawk County, Iowa",22110,138700,73957,1083,2191
19015,"Boone County, Iowa",4937,130400,72201,1174,1962
19017,"Bremer County, Iowa",4475,157600,83331,1237,2173
19019,"Buchanan County, Iowa",3769,135500,73441,1136,1819
19021,"Buena Vista County, Iowa",2723,113000,65625,949,1496
19023,"Butler County, Iowa",2611,111500,71578,989,1524
19025,"Calhoun County, Iowa",1523,82800,58964,821,1096
19027,"Carroll County, Iowa",3344,133300,76019,1003,1351
19029,"Cass County, Iowa",2207,90600,56030,850,1346
19031,"Cedar County, Iowa",3586,144100,74333,1158,1829
19033,"Cerro Gordo County, Iowa",7278,120700,69433,1037,1607
19035,"Cherokee County, Iowa",1739,93700,70243,880,1114
19037,"Chickasaw County, Iowa",2094,105200,65150,967,1223
19039,"Clarke County, Iowa",1404,108100,70357,1024,1651
19041,"Clay County, Iowa",2981,116500,68763,999,1435
19043,"Clayton County, Iowa",2855,115600,64844,1077,1584
19045,"Clinton County, Iowa",8450,113100,71000,1072,1719
19047,"Crawford County, Iowa",2276,98800,71716,957,1357
19049,"Dallas County, Iowa",16886,215300,103389,1519,3296
19051,"Davis County, Iowa",1290,104700,63897,1084,1623
19053,"Decatur County, Iowa",1001,87100,59837,956,1363
19055,"Delaware County, Iowa",3163,132800,74588,1082,1731
19057,"Des Moines County, Iowa",6711,103400,64347,1006,1644
19059,"Dickinson County, Iowa",3416,175600,76581,1202,1751
19061,"Dubuque County, Iowa",16527,157900,77370,1196,2209
19063,"Emmet County, Iowa",1543,85800,70882,948,1357
